author,degree,betweenness,eigenvector
"Han, Xu",0.0005915159709312151,0.0,9.583611349537757e-06
"Xiao, Ke",0.0013520365049856345,0.006517351415435249,0.0001405192704700108
"Wang, Xiang",0.0005915159709312151,0.0,9.583611349537757e-06
"Zhang, Chaoqi",0.0005915159709312151,0.0,9.583611349537757e-06
"Arbiol, Jordi",0.0005915159709312151,0.0,9.583611349537757e-06
"Cabot, Andreu",0.0014365387865472366,0.0006262148229527593,9.978937239802081e-06
"Liu, Dong",0.0003380091262464086,0.0,7.4199813486603255e-06
"Zhang, Shuai",0.0014365387865472366,0.0013612354661276858,0.00011530239202322644
"Wang, Jinming",0.0021970593206016562,0.007110290283064203,1.2748845323318655e-05
"Peng, Tianyou",0.0019435524759168496,0.0032047939017067297,1.5768195278996616e-05
"Li, Renjie",0.0006760182524928173,0.00015928787438429138,7.796173745758865e-06
"Xue, Chao",0.0021970593206016562,0.004230327789818939,0.0003368618378635741
"Zhang, Peng",0.0035490958255872907,0.013324587465076643,0.0006137347326757615
"Shao, Guosheng",0.0014365387865472366,0.0021180454755734615,0.00016819972218303045
"Yang, Guidong",0.0018590501943552475,0.0013776443506558862,0.0002656261879604699
"Li, Yasi",8.450228156160216e-05,0.0,6.072900502010948e-24
"Wang, Junkai",0.0006760182524928173,0.0,4.262017708365691e-23
"Wang, Dongxiao",0.0014365387865472366,0.0008828875030307822,4.2964840404596544e-05
"Lan, Zheng",0.0008450228156160215,0.0,3.680115413313175e-06
"Li, Yue",0.0012675342234240324,0.00043231957913303837,4.020930858444921e-06
"Huang, Ying",0.0008450228156160215,0.0,3.680115413313175e-06
"Yin, Kun",0.0008450228156160215,0.0,3.680115413313175e-06
"Yang, Lixia",0.0008450228156160215,0.0,3.680115413313175e-06
"Bai, Liangjiu",0.0008450228156160215,0.0,3.680115413313175e-06
"Wei, Donglei",0.0008450228156160215,0.0,3.680115413313175e-06
"Yang, Huawei",0.0008450228156160215,0.0,3.680115413313175e-06
"Chen, Hou",0.0008450228156160215,0.0,3.680115413313175e-06
"Luo, Mingchuan",0.0008450228156160215,0.0,3.680115413313175e-06
"Singh, Arunima",0.0001690045631232043,0.0,4.961725533464465e-44
"Jain, Manjari",0.0001690045631232043,0.0,4.961725533464465e-44
"Bhattacharya, Saswata",0.0001690045631232043,0.0,4.961725533464465e-44
"Sahoo, Shubham",0.0001690045631232043,0.0,4.961725533464465e-44
"Kumari, Puja",0.0001690045631232043,0.0,4.961725533464465e-44
"Ray, Soumya Jyoti",0.0001690045631232043,0.0,4.961725533464465e-44
"Shen, Rongchen",0.0005915159709312151,2.309192539903264e-06,0.00032215436581896307
"Liang, Guijie",0.0003380091262464086,0.0,0.00027754136930372255
"Hao, Lei",0.001605543349670441,0.0012515372813617879,0.0004164038487638709
"Li, Xin",0.007520703058982592,0.029893598119660927,0.004411360536983495
"Wu, Hui",0.0009295250971776238,0.0,4.4333399904290696e-05
"Lou, Zengxin",0.0009295250971776238,0.0,4.4333399904290696e-05
"Kang, Kai",0.0013520365049856345,9.432848716386008e-05,6.618780211049568e-05
"Zhang, Chunjuan",0.0009295250971776238,0.0,4.4333399904290696e-05
"Ji, Xinyue",0.0009295250971776238,0.0,4.4333399904290696e-05
"Chu, Hanqiao",0.0009295250971776238,0.0,4.4333399904290696e-05
"Wei, Shuoheng",0.0009295250971776238,0.0,4.4333399904290696e-05
"Xu, Wenzhe",0.0009295250971776238,0.0,4.4333399904290696e-05
"Wang, Guanyun",0.0009295250971776238,0.0,4.4333399904290696e-05
"Pan, Junkai",0.0009295250971776238,0.0,4.4333399904290696e-05
"Liu, Juan",0.0013520365049856345,0.00038259512403063635,0.00015151853021473492
"Bao, Yongchao",0.0015210410681088388,0.0002454330630179715,0.000350267204260522
"Gupta, Shalu",8.450228156160216e-05,0.0,1.1672423683483423e-52
"Kumar, Rakesh",8.450228156160216e-05,0.0,1.1672423683483423e-52
"Chen, Guanyu",0.0011830319418624302,0.0,0.0011308438870056073
"Hu, Xinyi",0.0011830319418624302,0.0,0.0011308438870056073
"Gu, Mingwei",0.0011830319418624302,0.0,0.0011308438870056073
"Wu, Hao",0.0017745479127936454,0.00033719259697456266,0.001156420522354217
"Chen, Keyu",0.0011830319418624302,0.0,0.0011308438870056073
"Yu, Hao",0.002281561602163258,0.0005359372275628851,0.0012283860801494094
"Ren, Baiyu",0.0011830319418624302,0.0,0.0011308438870056073
"Li, Zhong",0.001690045631232043,0.00027012822073497057,0.0011575593795512544
"Luan, Yange",0.0011830319418624302,0.0,0.0011308438870056073
"Tang, Tao",0.0021970593206016562,0.0014963834994444877,0.008518075349666324
"Cheng, Yinfen",0.0011830319418624302,0.0,0.0011308438870056073
"Huang, Haibo",0.0011830319418624302,0.0,0.0011308438870056073
"Chen, Liguo",0.0011830319418624302,0.0,0.0011308438870056073
"Zhang, Bao Yue",0.0011830319418624302,0.0,0.0011308438870056073
"Ou, Jian Zhen",0.0011830319418624302,0.0,0.0011308438870056073
"Gan, Wei",0.0019435524759168496,0.0002507026558250085,0.00020038692255326025
"Guo, Jun",0.002028054757478452,0.0010165489292905635,0.0001986050645859624
"Fu, Xucheng",0.0010985296603008281,1.0564539004377094e-06,8.895014451401353e-05
"Zhang, Miao",0.0021970593206016562,0.0009916604481130518,0.0002270014565012594
"Ding, Chunsheng",0.0012675342234240324,1.7483956764516639e-06,9.391845075596262e-05
"Yu, Hai",0.0007605205340544194,0.0,6.706043291823815e-05
"Lu, Yuqing",0.0012675342234240324,1.7483956764516639e-06,9.391845075596262e-05
"Li, Jianrou",0.0011830319418624302,2.2369319880641366e-05,0.000178288887086231
"Li, Ziliang",0.0007605205340544194,0.0,6.706043291823815e-05
"Sun, Zhaoqi",0.0021970593206016562,0.0009916604481130518,0.0002270014565012594
"Sun, Baofan",0.0006760182524928173,0.0,3.0956168310956616e-05
"Chen, Jiajun",0.0006760182524928173,0.0,3.0956168310956616e-05
"Zhou, Xinyi",0.0006760182524928173,0.0,3.0956168310956616e-05
"Liu, Min",0.0025350684468480648,0.002976367341548538,0.00042397720937582947
"Wu, Yaping",0.0006760182524928173,0.0,3.0956168310956616e-05
"Xia, Yuanzheng",0.0006760182524928173,0.0,3.0956168310956616e-05
"Li, Xu",0.0006760182524928173,0.0,3.0956168310956616e-05
"Wu, Zhiming",0.0006760182524928173,0.0,3.0956168310956616e-05
"Kang, Junyong",0.0006760182524928173,0.0,3.0956168310956616e-05
"Tran, Trung Tin",0.0002535068446848065,0.0,6.570990368930812e-38
"Du, Phuoc Thao Vo",0.0002535068446848065,0.0,6.570990368930812e-38
"Vo, Anh Hao Huynh",0.0002535068446848065,0.0,6.570990368930812e-38
"Tran, Trung Nghia",0.0002535068446848065,0.0,6.570990368930812e-38
"Xia, Pengfei",0.0003380091262464086,0.0,6.926389493658774e-05
"Zhang, Yibo",0.00042251140780801076,0.0,3.022850958276734e-07
"Chen, Dongyun",0.0018590501943552475,0.00024291629945310335,1.2731523558075038e-06
"Li, Najun",0.0018590501943552475,0.00024291629945310335,1.2731523558075038e-06
"Xu, Qingfeng",0.0015210410681088388,9.840518646400509e-05,1.233583930888273e-06
"Li, Hua",0.0015210410681088388,9.840518646400509e-05,1.233583930888273e-06
"Lu, Jianmei",0.0018590501943552475,0.00024291629945310335,1.2731523558075038e-06
"Jin, Chongyue",0.0008450228156160215,3.0110857056092144e-05,2.2490964187860158e-06
"Wang, Min",0.0013520365049856345,0.00031818785124567843,4.364107771707967e-06
"Li, Zhilin",0.0008450228156160215,3.0110857056092144e-05,2.2490964187860158e-06
"Kang, Jin",0.0008450228156160215,3.0110857056092144e-05,2.2490964187860158e-06
"Zhao, Yan",0.0011830319418624302,0.0005186404015892099,3.1024003292284786e-05
"Han, Jin",0.000507013689369613,0.0,2.1338190416456366e-06
"Wu, Zengmin",0.000507013689369613,0.0,2.1338190416456366e-06
"Yu, Xiaohui",0.0013520365049856345,4.162867515701692e-05,0.00038349307260562073
"Xie, Juan",0.0003380091262464086,0.0,0.00016133499422242388
"Liu, Qinqin",0.0027885752915328714,0.0004845363842901357,0.0007508294929522881
"Dong, Huilong",0.001014027378739226,0.0006037161839103171,0.002060504169827709
"Li, Youyong",0.0006760182524928173,0.000218218485786089,0.00016401832336244287
"Luo, Dian",0.0005915159709312151,0.0,1.8811497069725705e-07
"Peng, Lei",0.0005915159709312151,0.0,1.8811497069725705e-07
"Wang, Yang",0.0018590501943552475,0.0012042592749091524,2.6985900562523097e-06
"Lu, Xiangyu",0.0005915159709312151,0.0,1.8811497069725705e-07
"Yang, Cheng",0.0010985296603008281,0.0006743851939491253,1.9174153303383486e-07
"Xu, Xinsheng",0.0005915159709312151,0.0,1.8811497069725705e-07
"Huang, Yucheng",0.0005915159709312151,0.0,1.8811497069725705e-07
"Ni, Yonghong",0.0005915159709312151,0.0,1.8811497069725705e-07
"Wang, Caiyun",0.0007605205340544194,0.0,8.710449765395172e-07
